"Position (m) Run #1","Magnetic Field Strength (1X) (G) Run #1","Position (m) Run #2","Magnetic Field Strength (1X) (G) Run #2","Position (m) Run #3","Magnetic Field Strength (1X) (G) Run #3"
-0.1793,,-0.2440,,-0.2932,
-0.1802,26,-0.2449,6,-0.2941,2
-0.1811,,-0.2458,,-0.2949,
-0.1821,25,-0.2468,6,-0.2956,2
-0.1831,,-0.2479,,-0.2963,
-0.1841,25,-0.2490,6,-0.2970,2
-0.1851,,-0.2502,,-0.2976,
-0.1861,24,-0.2514,5,-0.2983,2
-0.1869,,-0.2526,,-0.2990,
-0.1875,24,-0.2540,5,-0.2997,2
-0.1879,,-0.2553,,-0.3003,
-0.1882,24,-0.2566,5,-0.3010,1
-0.1885,,-0.2579,,-0.3016,
-0.1887,24,-0.2591,4,-0.3023,1
-0.1889,,-0.2601,,-0.3029,
-0.1892,23,-0.2611,4,-0.3034,1
-0.1895,,-0.2620,,-0.3039,
-0.1899,23,-0.2629,4,-0.3045,1
-0.1903,,-0.2639,,-0.3051,
-0.1907,23,-0.2649,4,-0.3058,1
-0.1912,,-0.2660,,-0.3066,
-0.1919,22,-0.2670,4,-0.3074,1
-0.1926,,-0.2679,,-0.3083,
-0.1931,22,-0.2688,3,-0.3091,1
-0.1937,,-0.2695,,-0.3100,
-0.1942,22,-0.2702,3,-0.3108,1
-0.1947,,-0.2709,,-0.3116,
-0.1950,21,-0.2717,3,-0.3123,1
-0.1953,,-0.2726,,-0.3129,
-0.1955,21,-0.2737,3,-0.3136,1
-0.1958,,-0.2750,,-0.3143,
-0.1961,21,-0.2764,3,-0.3151,1
-0.1965,,-0.2780,,-0.3160,
-0.1970,21,-0.2796,3,-0.3169,1
-0.1977,,-0.2812,,-0.3178,
-0.1983,20,-0.2827,2,-0.3189,1
-0.1988,,-0.2842,,-0.3200,
-0.1992,20,-0.2856,2,-0.3212,1
-0.1994,,-0.2868,,-0.3223,
-0.1996,20,-0.2880,2,-0.3233,1
-0.1999,,-0.2891,,-0.3243,
-0.2002,19,-0.2901,2,-0.3252,1
-0.2005,,-0.2911,,-0.3261,
-0.2008,19,-0.2921,2,-0.3269,1
-0.2013,,-0.2931,,-0.3276,
-0.2018,19,-0.2942,2,-0.3283,1
-0.2023,,-0.2952,,-0.3290,
-0.2029,18,-0.2963,2,-0.3298,1
-0.2035,,-0.2972,,-0.3305,
-0.2041,18,-0.2981,2,-0.3312,1
-0.2048,,-0.2988,,-0.3319,
-0.2057,17,-0.2995,2,-0.3325,1
-0.2068,,-0.3002,,-0.3331,
-0.2079,16,-0.3008,2,-0.3337,1
-0.2090,,-0.3014,,-0.3342,
-0.2102,15,-0.3020,2,-0.3347,0
-0.2115,,-0.3026,,-0.3353,
-0.2128,15,-0.3032,1,-0.3358,0
-0.2141,,-0.3039,,-0.3364,
-0.2153,14,-0.3046,1,-0.3370,0
-0.2165,,-0.3053,,-0.3376,
-0.2176,13,-0.3060,1,-0.3382,0
-0.2186,,-0.3067,,-0.3388,
-0.2197,12,-0.3074,1,-0.3394,0
-0.2206,,-0.3081,,-0.3399,
-0.2215,12,-0.3087,1,-0.3404,0
-0.2224,,-0.3094,,-0.3409,
-0.2233,11,-0.3100,1,-0.3414,0
-0.2242,,-0.3108,,-0.3418,
-0.2252,11,-0.3115,1,-0.3422,0
-0.2262,,-0.3123,,-0.3425,
-0.2272,10,-0.3130,1,-0.3429,0
-0.2283,,-0.3137,,-0.3433,
-0.2295,10,-0.3144,1,-0.3438,0
-0.2306,,-0.3152,,-0.3442,
-0.2317,9,-0.3159,1,-0.3447,0
-0.2328,,-0.3167,,-0.3451,
-0.2337,9,-0.3174,1,-0.3456,0
-0.2346,,-0.3183,,-0.3460,
-0.2353,8,-0.3191,1,-0.3463,0
-0.2361,,-0.3199,,-0.3465,
-0.2366,8,-0.3207,1,-0.3465,0
-0.2371,,-0.3215,,-0.3465,
-0.2377,8,-0.3223,1,-0.3465,0
-0.2383,,-0.3232,,-0.3466,
-0.2389,8,-0.3240,1,-0.3466,0
-0.2397,,-0.3248,,-0.3466,
-0.2406,7,-0.3256,1,-0.3466,0
-0.2414,,-0.3265,,-0.3466,
-0.2424,7,-0.3273,1,-0.3466,0
-0.2432,,-0.3282,,-0.3466,
-0.2440,7,-0.3290,1,-0.3466,0
-0.2448,,-0.3298,,-0.3466,
-0.2456,7,-0.3305,1,-0.3466,0
-0.2465,,-0.3312,,-0.3466,
-0.2475,6,-0.3318,1,-0.3466,
-0.2484,,-0.3325,,-0.3466,
-0.2493,6,-0.3332,1,,
-0.2502,,-0.3339,,,
-0.2511,6,-0.3348,1,,
-0.2521,,-0.3358,,,
-0.2530,5,-0.3369,1,,
-0.2539,,-0.3380,,,
-0.2547,5,-0.3390,1,,
-0.2556,,-0.3399,,,
-0.2563,5,-0.3408,1,,
-0.2571,,-0.3415,,,
-0.2578,5,-0.3420,1,,
-0.2585,,-0.3424,,,
-0.2591,5,-0.3429,0,,
-0.2597,,-0.3433,,,
-0.2604,5,-0.3437,1,,
-0.2611,,-0.3441,,,
-0.2621,4,-0.3445,0,,
-0.2632,,-0.3450,,,
-0.2645,4,-0.3454,0,,
-0.2659,,-0.3459,,,
-0.2674,4,-0.3463,0,,
-0.2689,,-0.3467,,,
-0.2703,4,-0.3471,0,,
-0.2716,,-0.3473,,,
-0.2730,3,-0.3474,0,,
-0.2743,,-0.3475,,,
-0.2755,3,-0.3476,0,,
-0.2769,,-0.3477,,,
-0.2784,3,-0.3477,0,,
-0.2800,,-0.3477,,,
-0.2817,3,-0.3478,0,,
-0.2834,,-0.3478,,,
-0.2853,2,-0.3478,0,,
-0.2871,,-0.3478,,,
-0.2889,2,-0.3478,0,,
-0.2906,,-0.3478,,,
-0.2924,2,-0.3478,0,,
-0.2941,,-0.3478,,,
-0.2958,2,-0.3478,0,,
-0.2973,,-0.3478,,,
-0.2987,2,-0.3478,0,,
-0.3000,,-0.3478,,,
-0.3010,2,-0.3478,0,,
-0.3020,,-0.3478,,,
-0.3029,2,-0.3478,0,,
-0.3037,,-0.3478,,,
-0.3046,2,-0.3478,0,,
-0.3056,,-0.3478,,,
-0.3066,2,-0.3478,,,
-0.3075,,,,,
-0.3085,1,,,,
-0.3094,,,,,
-0.3102,1,,,,
-0.3110,,,,,
-0.3118,1,,,,
-0.3126,,,,,
-0.3133,1,,,,
-0.3142,,,,,
-0.3150,1,,,,
-0.3158,,,,,
-0.3166,1,,,,
-0.3173,,,,,
-0.3180,1,,,,
-0.3187,,,,,
-0.3196,1,,,,
-0.3204,,,,,
-0.3211,1,,,,
-0.3220,,,,,
-0.3228,1,,,,
-0.3237,,,,,
-0.3245,1,,,,
-0.3253,,,,,
-0.3262,1,,,,
-0.3269,,,,,
-0.3277,1,,,,
-0.3285,,,,,
-0.3293,1,,,,
-0.3301,,,,,
-0.3309,1,,,,
-0.3317,,,,,
-0.3324,1,,,,
-0.3331,,,,,
-0.3339,1,,,,
-0.3346,,,,,
-0.3353,1,,,,
-0.3360,,,,,
-0.3367,1,,,,
-0.3375,,,,,
-0.3382,1,,,,
-0.3388,,,,,
-0.3394,1,,,,
-0.3400,,,,,
-0.3405,1,,,,
-0.3410,,,,,
-0.3414,1,,,,
-0.3418,,,,,
-0.3423,1,,,,
-0.3429,,,,,
-0.3435,1,,,,
-0.3441,,,,,
-0.3447,1,,,,
-0.3453,,,,,
-0.3458,1,,,,
-0.3463,,,,,
-0.3468,1,,,,
-0.3472,,,,,
-0.3475,1,,,,
-0.3478,,,,,
-0.3478,1,,,,
-0.3478,,,,,
-0.3478,1,,,,
-0.3478,,,,,
-0.3478,1,,,,
-0.3478,,,,,
-0.3478,1,,,,
-0.3478,,,,,
-0.3478,1,,,,
-0.3478,,,,,
-0.3478,1,,,,
-0.3478,,,,,
-0.3475,1,,,,
-0.3473,,,,,
-0.3473,1,,,,
-0.3473,,,,,
-0.3473,1,,,,
-0.3473,,,,,
-0.3473,1,,,,
-0.3473,,,,,
-0.3473,1,,,,
-0.3473,,,,,
-0.3473,1,,,,
-0.3473,,,,,
-0.3473,1,,,,
-0.3473,,,,,
-0.3473,1,,,,
-0.3473,,,,,
-0.3473,1,,,,
-0.3473,,,,,
-0.3473,1,,,,
-0.3473,,,,,
-0.3473,1,,,,
-0.3473,,,,,
-0.3473,1,,,,
-0.3473,,,,,
-0.3473,1,,,,
-0.3473,,,,,
-0.3473,1,,,,
-0.3473,,,,,
-0.3473,1,,,,
-0.3473,,,,,
-0.3473,1,,,,
-0.3473,,,,,
-0.3473,1,,,,
-0.3473,,,,,
-0.3473,1,,,,
-0.3473,,,,,
-0.3473,1,,,,
-0.3473,,,,,
-0.3473,1,,,,
-0.3473,,,,,
-0.3473,1,,,,
-0.3473,,,,,
-0.3473,1,,,,
-0.3473,,,,,
-0.3473,1,,,,
-0.3473,,,,,
-0.3473,1,,,,
-0.3473,,,,,
-0.3473,1,,,,
-0.3473,,,,,
-0.3473,1,,,,
-0.3473,,,,,
-0.3473,1,,,,
-0.3473,,,,,
-0.3473,1,,,,
-0.3473,,,,,
-0.3473,1,,,,
-0.3473,,,,,
-0.3473,1,,,,
-0.3473,,,,,
-0.3473,1,,,,
-0.3473,,,,,
-0.3473,1,,,,
-0.3473,,,,,
-0.3473,1,,,,
-0.3473,,,,,
-0.3473,1,,,,
-0.3473,,,,,
-0.3473,1,,,,
-0.3473,,,,,
-0.3473,1,,,,
-0.3473,,,,,
-0.3473,1,,,,
-0.3473,,,,,
-0.3473,1,,,,
-0.3473,,,,,
-0.3473,1,,,,
-0.3473,,,,,
-0.3473,,,,,
-0.3473,,,,,
