"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.431052833E0,-4.990844727E-1,1.243443012E1,-5.052641296E1,5.203635791E1
1.441096833E0,-5.690917969E-1,1.248443031E1,-5.035046387E1,5.187826209E1
1.451141833E0,-5.717468262E-1,1.245636082E1,-5.057179260E1,5.208640923E1
1.461185833E0,-5.164489746E-1,1.243768597E1,-5.057109070E1,5.208068707E1
1.471229833E0,-4.973144531E-1,1.244938850E1,-5.036857605E1,5.188668470E1
1.481274833E0,-4.110412598E-1,1.241147900E1,-5.028396606E1,5.179470059E1
1.491318833E0,-4.978332520E-1,1.241834068E1,-5.032759094E1,5.183945827E1
1.501362833E0,-4.613647461E-1,1.232984352E1,-5.030566406E1,5.179669618E1
1.511406833E0,-6.344604492E-1,1.240562916E1,-5.034284973E1,5.185272118E1
1.521451833E0,-6.223144531E-1,1.236414814E1,-5.051834106E1,5.201309660E1
1.531495833E0,-5.989379883E-1,1.241610241E1,-5.070420837E1,5.220569962E1
1.541539833E0,-5.534362793E-1,1.245758915E1,-5.060389709E1,5.211767666E1
1.551584833E0,-5.199584961E-1,1.241360474E1,-5.037957764E1,5.188901408E1
1.561628833E0,-5.320434570E-1,1.242369366E1,-5.046029663E1,5.196992179E1
1.571672833E0,-6.252746582E-1,1.244583225E1,-5.036669922E1,5.188539389E1
1.581717833E0,-4.261779785E-1,1.251635170E1,-5.045494080E1,5.198597636E1
1.591761833E0,-6.517028809E-1,1.247497559E1,-5.045619202E1,5.197958297E1
1.601805833E0,-6.494445801E-1,1.243638515E1,-5.033892822E1,5.185646680E1
1.611849833E0,-4.459228516E-1,1.247504616E1,-5.025732422E1,5.178440172E1
1.621894833E0,-5.019226074E-1,1.250151730E1,-5.024075317E1,5.177521744E1
1.631938833E0,-4.680480957E-1,1.258853054E1,-5.029136658E1,5.184507423E1
1.641982833E0,-5.812377930E-1,1.252912235E1,-5.047099304E1,5.200613313E1
1.652027833E0,-5.632019043E-1,1.262068653E1,-5.041835022E1,5.197700418E1
1.662071833E0,-5.451965332E-1,1.264828587E1,-5.034138489E1,5.190887599E1
1.672115833E0,-6.683959961E-1,1.258365822E1,-5.041763306E1,5.196857637E1
1.682160833E0,-5.592956543E-1,1.258420372E1,-5.046496582E1,5.201334223E1
1.692204833E0,-6.858215332E-1,1.262521744E1,-5.041389465E1,5.197525604E1
1.702248833E0,-5.580749512E-1,1.244409275E1,-5.027409363E1,5.179431805E1
1.712292833E0,-4.489440918E-1,1.239478016E1,-5.028381348E1,5.179086815E1
1.722337833E0,-6.141357422E-1,1.252077579E1,-5.027253723E1,5.181191937E1
1.732381833E0,-5.061035156E-1,1.238518906E1,-5.029513550E1,5.180009366E1
1.742425833E0,-6.010437012E-1,1.251638699E1,-5.030863953E1,5.184573664E1
1.752470833E0,-4.698791504E-1,1.257531929E1,-5.008064270E1,5.163748846E1
1.762514833E0,-4.883117676E-1,1.258104515E1,-5.016838074E1,5.172414882E1
1.772558833E0,-5.140380859E-1,1.262094593E1,-5.032681274E1,5.188776920E1
1.782602833E0,-6.541442871E-1,1.253459263E1,-5.029980469E1,5.184220548E1
1.792647833E0,-6.684570312E-1,1.249081516E1,-5.050921631E1,5.203506731E1
1.802691833E0,-5.735778809E-1,1.255062962E1,-5.049832153E1,5.203775334E1
1.812735833E0,-5.769653320E-1,1.267225075E1,-5.031565857E1,5.189011780E1
1.822780833E0,-6.081848145E-1,1.252219963E1,-5.030125427E1,5.184005742E1
1.832824833E0,-5.441894531E-1,1.249854183E1,-5.035299683E1,5.188385085E1
1.842868833E0,-5.155944824E-1,1.255096245E1,-5.017314148E1,5.172172292E1
1.852913833E0,-4.877319336E-1,1.249318123E1,-5.004605103E1,5.158415147E1
1.862957833E0,-5.340270996E-1,1.265045357E1,-5.012403870E1,5.169853398E1
1.873001833E0,-5.053710938E-1,1.256186485E1,-5.016079712E1,5.171229463E1
1.883045833E0,-4.540710449E-1,1.252692509E1,-5.026693726E1,5.180632214E1
1.893090833E0,-5.713195801E-1,1.262110901E1,-5.024220276E1,5.180634842E1
1.903134833E0,-5.252380371E-1,1.246751690E1,-5.025595093E1,5.178199935E1
1.913178833E0,-4.196777344E-1,1.252995014E1,-5.024810791E1,5.178849417E1
1.923223833E0,-4.196777344E-1,1.252995014E1,-5.024810791E1,5.178849417E1
1.933267833E0,-5.044250488E-1,1.247383976E1,-5.048699951E1,5.200757870E1
1.943311833E0,-4.688110352E-1,1.244165993E1,-5.024467468E1,5.176429290E1
1.953355833E0,-3.934326172E-1,1.249700356E1,-5.046005249E1,5.198602490E1
1.963400833E0,-3.666992188E-1,1.250953484E1,-5.050823975E1,5.203561485E1
1.973444833E0,-3.482360840E-1,1.261359406E1,-5.036051941E1,5.191729903E1
1.983488833E0,-3.899536133E-1,1.257280254E1,-5.051916504E1,5.206163140E1
1.993533833E0,-4.565124512E-1,1.251463604E1,-5.035978699E1,5.189347420E1
2.003577833E0,-4.147033691E-1,1.248332119E1,-5.025483704E1,5.178372266E1
2.013621833E0,-3.959350586E-1,1.242672539E1,-5.013700867E1,5.165558931E1
2.023665833E0,-4.149169922E-1,1.248861217E1,-5.029652405E1,5.182545631E1
2.033710833E0,-4.115295410E-1,1.253796959E1,-5.044451904E1,5.198095362E1
2.043754833E0,-4.681396484E-1,1.249051666E1,-5.036787415E1,5.189561549E1
2.053798833E0,-4.735107422E-1,1.243011570E1,-5.041180420E1,5.192380948E1
2.063843833E0,-5.141296387E-1,1.248332214E1,-5.051690674E1,5.203898085E1
2.073887833E0,-4.073486328E-1,1.240227318E1,-5.045463562E1,5.195818096E1
2.083931833E0,-3.670959473E-1,1.246033382E1,-5.038937378E1,5.190841616E1
2.093975833E0,-3.493041992E-1,1.244372845E1,-5.047460938E1,5.198706169E1
2.104020833E0,-3.025512695E-1,1.248997974E1,-5.020419312E1,5.173540507E1
2.114064833E0,-3.330688477E-1,1.238624477E1,-5.034422302E1,5.184660824E1
2.124108833E0,-4.806213379E-1,1.238089943E1,-5.051403809E1,5.201139982E1
